,album_name,album_uri,artist_name,artist_uri,duration_ms,pos,track_name,track_uri
1392,Wooden Heart,spotify:album:73k7ekVsOQpnO3damAZG3l,Listener,spotify:artist:1g7SzzSf5mKMo5aiS2C4z5,248293,11,Wooden Heart,spotify:track:7AvbfnZNXylSfjDgFG5vyW
1393,Wooden Heart,spotify:album:73k7ekVsOQpnO3damAZG3l,Listener,spotify:artist:1g7SzzSf5mKMo5aiS2C4z5,180306,12,You Were A House On Fire,spotify:track:6AAPXkcmhM6RH7lhzYo99r
1394,The Firewatcher's Daughter,spotify:album:3rYEKNHwZcAVrc6qfAR28U,Brandi Carlile,spotify:artist:2sG4zTOLvjKG1PSoOyf5Ej,230108,13,Wherever is Your Heart,spotify:track:4elFwESsK6fhXiD0DprppB
1395,The Story & Cover Stories,spotify:album:1JUiwrGw7950O1zwfWILEX,Brandi Carlile,spotify:artist:2sG4zTOLvjKG1PSoOyf5Ej,238493,14,The Story,spotify:track:44IeABaLLsnFVb7rjzNTzS
1396,Down The Way,spotify:album:0C29hfEJQdcyzpTHy8tTXr,Angus & Julia Stone,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,239120,15,Big Jet Plane,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ
1397,Absolute Zero,spotify:album:0FSlXUD9lWwWP1NkfiNmQH,Little Green Cars,spotify:artist:2Vz3AN2wY3xjS2jCaGMVsy,300960,16,My Love Took Me Down To The River To Silence Me,spotify:track:0x1mjEve6LgDbFqBO36p0X
1398,"Bigger, Better, Faster, More !",spotify:album:7oqXnxR9Xg9Okhs17hL9aS,4 Non Blondes,spotify:artist:0Je74SitssvJg1w4Ra2EK7,295493,17,What's Up?,spotify:track:7f0jXNMu2xjQUtmKMuWhGA
1399,LoveBlood,spotify:album:07MeEPmkdYGUOCjsdh22Wj,King Charles,spotify:artist:6QKDcdjtwqu4E7rztEUQu5,178426,18,Love Lust - New Master,spotify:track:1clbjDYaJPemwBXJaSlJt2
1400,Middle Brother,spotify:album:1XknJMWQfuzCz5MjG7w0o1,Middle Brother,spotify:artist:5au2vhHl8DViD9PUxUZBTb,245040,19,Blue Eyes,spotify:track:6wgphBnJiAkBCDll1Ws8jO
1401,On Oni Pond,spotify:album:50PipIiXEjJXGfwoBFtJ7g,Man Man,spotify:artist:0zprAu7NrzRehc0Q0Jc7mL,265160,20,Head On (Hold On To Your Heart),spotify:track:6pwYi8JStPRDK7bk2qul9w
1402,Absolute Zero,spotify:album:0FSlXUD9lWwWP1NkfiNmQH,Little Green Cars,spotify:artist:2Vz3AN2wY3xjS2jCaGMVsy,291920,21,The John Wayne,spotify:track:460n97wRvhCNU4OVgZyM0V
1403,Time Capsules II,spotify:album:1dCkBUFMPOZ6meLHWtQgKg,Oberhofer,spotify:artist:5zb7wVUx1vTXLB6HX26EnX,221760,22,oOoO,spotify:track:7FUCo6OjVcjOKTSoX4gQL9
1404,The Wild Hunt,spotify:album:6cnZbo9GSSTTafDnoXtSGL,The Tallest Man On Earth,spotify:artist:2BpAc5eK7Rz5GAwSp9UYXa,254826,23,Love Is All,spotify:track:2qppEPX84bYQmgBjCeF8FO
1405,"Pinstripes, the Sky",spotify:album:2jmv4c0TvU2dcKD6Tv8TEr,Ryan Lerman,spotify:artist:167Bf8AKy1RP0fqg0O5XZc,189750,24,Do With You (feat. Ben Folds),spotify:track:5OzlfXT5ZKAjuBfvXqaZQm
1406,"Those Words, Those Frames",spotify:album:3om2dkdDc6JLhiDlDvYw8Z,Monarchs,spotify:artist:2eR3cOK80CasFmUgfYLjar,216973,25,Come On and Move Me,spotify:track:0k6hxzX5C047LD8NXHMckp
1407,Barchords,spotify:album:753yeghJKIjYDaLbJB2ZW9,Bahamas,spotify:artist:4C50EbCS11M0VbGyH3OfLt,236720,26,Lost In The Light,spotify:track:25J4d78ESH2MgAJoIakB8O
1408,Still Waters,spotify:album:7k37VFA4knvv5vKbpd3sqG,This Mountain,spotify:artist:7cyTXwehjHVJpgQqg6sHHi,153293,27,Appalachia,spotify:track:1phs2HAPLccnYEuzMZmGh8
1409,The College Dropout,spotify:album:1NRRN5RWwfuLmQdjshz0L7,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,223506,28,All Falls Down,spotify:track:4FHu9bOzBjZurx89CMa42L
1410,The Call Of The Wildest,spotify:album:5RDBugAE4cU2vbLZj0dvmf,Louis Prima,spotify:artist:52lBOxCxbJg0ttXEW9CQpW,141666,29,Pennies From Heaven,spotify:track:4tmy6FB76bR5eLmx0zO1mn
1411,Baby Darling Doll Face Honey,spotify:album:324BTvXR9NMitN9KndHLKA,Band Of Skulls,spotify:artist:4ddt8PPvmWrI9mJQy1VrIG,164066,30,Light of the Morning,spotify:track:2r6degsEi8TF1rBMmp5taS
1412,Sweet Sour,spotify:album:2ixobpSRUPyIBLIvX2lA4c,Band Of Skulls,spotify:artist:4ddt8PPvmWrI9mJQy1VrIG,203186,31,Sweet Sour,spotify:track:71jqHGDtrZCRWCDhodXonC
1413,Listen,spotify:album:22F5JWqnUh0qchqI2wQfS0,The Kooks,spotify:artist:1GLtl8uqKmnyCWxHmw9tL4,221413,32,Bad Habit,spotify:track:3bGidOZsEEuLHC9noPK3AW
1414,Wait So Long / Disappear,spotify:album:29JZLIpJkNlETSjkiVkpFg,Motion City Soundtrack,spotify:artist:19zqV9DV3txjMUjHvltl2D,208026,33,Wait So Long,spotify:track:6DTLxkODqriIxX6Q4d4bOC
1415,Baby Darling Doll Face Honey,spotify:album:324BTvXR9NMitN9KndHLKA,Band Of Skulls,spotify:artist:4ddt8PPvmWrI9mJQy1VrIG,246000,34,Fires,spotify:track:7hXTtHgtYOBHlN6MP00m3p
1416,Baby Darling Doll Face Honey,spotify:album:324BTvXR9NMitN9KndHLKA,Band Of Skulls,spotify:artist:4ddt8PPvmWrI9mJQy1VrIG,192933,35,Death By Diamonds And Pearls,spotify:track:0FARxqfTf2VoDksn2pFLKN
1417,Thank You Happy Birthday,spotify:album:2jVxhH1xg6EIc87rGM1Ogt,Cage The Elephant,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,221946,36,Always Something,spotify:track:72XtDRVkMhHthckiMiAUUJ
1418,Holy Fire,spotify:album:0PIR7PK8DMB4pgoxq7F9Ad,Foals,spotify:artist:6FQqZYVfTNQ1pCqfkwVFEa,240533,37,My Number,spotify:track:4c9WmjVlQMr0s1IjbYO52Z
1419,Beat The Devil??s Tattoo,spotify:album:1DteqFsNGzNJBLxclNMK3h,Black Rebel Motorcycle Club,spotify:artist:1tpXaFf2F55E7kVJON4j4G,226760,38,Beat The Devil's Tattoo,spotify:track:08vE6LTket253Z2KYxf9hl
1420,Bad 25th Anniversary,spotify:album:24TAupSNVWSAHL0R7n71vm,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,298120,39,The Way You Make Me Feel - 2012 Remaster,spotify:track:0sKlV58cODrjxGFOyf9IXY
1421,Better Nature,spotify:album:02gH963ro23jvFuWkBds0s,Silversun Pickups,spotify:artist:6qyi8X6MdP1lu6B1K6yh3h,229013,40,Circadian Rhythm (Last Dance),spotify:track:0zAe7oUseLPmS8EP8Yqfy2
1422,Simple Pleasures,spotify:album:4zhRkgoZKC2xCPPys1gK4b,Bobby McFerrin,spotify:artist:2FjkZT851ez950cyPjeYid,294400,41,Don't Worry Be Happy,spotify:track:4hObp5bmIJ3PP3cKA9K9GY
1423,Where Is My Mind?,spotify:album:7vH2fXhej1rubfAOvqwECV,Trampled By Turtles,spotify:artist:3GjVVVcFmUgEJEAAsbGkf4,210628,42,Where Is My Mind?,spotify:track:2dJrn376fJPUCj1f4txnRQ
1424,A/B,spotify:album:4he4SQup02hEIQdwhZlZlk,Kaleo,spotify:artist:7jdFEYD2LTYjfwxOdlVjmc,218600,43,Hot Blood,spotify:track:7d9sZF7jmepe2EYdETlNWK
1425,Himalayan,spotify:album:0Pa6mEgXjptNVnHuYprEEL,Band Of Skulls,spotify:artist:4ddt8PPvmWrI9mJQy1VrIG,193213,44,Himalayan,spotify:track:6foVEIyw3zQrPQomboJSoK
1426,How Will You Know If You Never Try,spotify:album:4TJUrdwbeKC9qcouPlBuLe,COIN,spotify:artist:0ZxZlO7oWCSYMXhehpyMvE,187133,45,Talk Too Much,spotify:track:4djIFfof5TpbSGRZUpsTXq
1427,Santana (Legacy Edition),spotify:album:2hQwyoPiM1G9iLWkXqC2Hu,Santana,spotify:artist:6GI52t8N5F02MxU0g5U69P,238266,46,Evil Ways,spotify:track:5tmrnhMxx39jnu3kjopMdP
1428,Butterfly Effect,spotify:album:4fOw7xSDwqb58Z2Qia5j81,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,190677,0,Butterfly Effect,spotify:track:1yxgsra98r3qAtxqiGZPiX
1429,Luv Is Rage 2,spotify:album:733e1ZfktLSwj96X5rsMeE,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,173797,1,X,spotify:track:5tRmoZRoupvMYPV1oezFrH
1430,Luv Is Rage 2,spotify:album:733e1ZfktLSwj96X5rsMeE,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,182706,2,XO TOUR Llif3,spotify:track:7GX5flRQZVHRAGd6B4TmDO
1431,Jungle Rules,spotify:album:4c2p3TdN7NcQfCXyueCNnC,French Montana,spotify:artist:6vXTefBL93Dj5IqAWq6OTv,233901,3,Unforgettable,spotify:track:3B54sVLJ402zGa6Xm4YGNe
1432,Look What You Made Me Do,spotify:album:7qqYU64i563QXANa6vpkSr,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,211859,4,Look What You Made Me Do,spotify:track:6uFsE1JgZ20EXyU0JQZbUR
1433,Funk Wav Bounces Vol.1,spotify:album:2HaqChIDc5go3qxVunBDK0,Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,223413,5,Feels,spotify:track:5bcTCxgc7xVfSaMV3RuVke
1434,American Teen,spotify:album:6kf46HbnYCZzP6rjvQHYzg,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,219080,6,Location,spotify:track:152lZdxL1OR0ZMW6KquMif
1435,Despacito Feat. Justin Bieber,spotify:album:3smvpv7CdrhVcGYaNDLOqn,Luis Fonsi,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,228826,7,Despacito - Remix,spotify:track:5CtI0qwDJkDQGwXD1H1cLb
1436,Crying in the Club,spotify:album:7s5gKFHMzzMHyLE2KFXNkR,Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,216391,8,Crying in the Club,spotify:track:1SJtlNRJDeYHioymcvsqev
1437,Fetish (feat. Gucci Mane),spotify:album:5EyHUMTzKoo7in8U4EfYjY,Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,186112,9,Fetish (feat. Gucci Mane),spotify:track:0XLOf9LhyazPX9Ld8jPiUq
1438,Mi Gente,spotify:album:57DmSe1xfynExe60QgpWU0,J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,189440,10,Mi Gente,spotify:track:2rb5MvYT7ZIxbKW5hfcHx8
1439,NAV,spotify:album:4JR29CNW14Zc4Z5vflxkoJ,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,199520,11,Up,spotify:track:5qbcsZMwL0x46sX7VO37Ye
1440,Grateful,spotify:album:4JBZ0QHveEpESepanNBG8A,DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,204173,12,Wild Thoughts,spotify:track:1OAh8uOEOvTDqkKFsKksCi
1441,Flicker,spotify:album:3QLB5s0MY7ERTwh4GpNMkf,Niall Horan,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4,188174,13,Slow Hands,spotify:track:38yBBH2jacvDxrznF7h08J
1442,Know No Better (feat. Quavo),spotify:album:52mrstSCAha3yK4X5KhBh4,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,225849,14,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",spotify:track:3Ytr1SUCUi6J3L9dRFx5iH
1443,Get Low (with Liam Payne),spotify:album:0uWfo5h3Sft3dwmOUcthaI,Zedd,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,204583,15,Get Low (with Liam Payne),spotify:track:1CKd1PnqfYx0H12V9MSaIY
1444,Luv Is Rage 2,spotify:album:733e1ZfktLSwj96X5rsMeE,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,221746,16,The Way Life Goes (feat. Oh Wonder),spotify:track:2eAZfqOm4EnOF9VvN50Tyc
1445,Everybody,spotify:album:1HiN2YXZcc3EjmVZ4WjfBk,Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,250173,17,1-800-273-8255,spotify:track:5tz69p7tJuGPeMGwNTxYuV
1446,Issa Album,spotify:album:4QUNWTw2FsIz722xjUjFJw,21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,220306,18,Bank Account,spotify:track:2fQrGHiQOvpL9UgPvtYy6G
1447,Back to You (feat. Bebe Rexha & Digital Farm Animals),spotify:album:4sBgGazGb7S9ZUQJu2Y0qa,Louis Tomlinson,spotify:artist:57WHJIHrjOE3iAxpihhMnp,190427,19,Back to You (feat. Bebe Rexha & Digital Farm Animals),spotify:track:7F9vK8hNFMml4GtHsaXui6
1448,"""Awaken, My Love!""",spotify:album:4xnq1L6P551Qcb9gBXNMK7,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,326933,20,Redbone,spotify:track:3kxfsdsCpFgN412fpnW85Y
1449,Rainbow,spotify:album:1IYVB8NfiRqhdZlTxjspNh,Kesha,spotify:artist:6LqNN22kT3074XbTVUrhzX,230266,21,Praying,spotify:track:0jdny0dhgjUwoIp5GkqEaA
1450,Groovy People,spotify:album:2a8IWtMGQl8oIA3lUtLDQw,Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,161106,22,Dirty Water,spotify:track:52rbzvOCmHgprzUaMqZEPK
1451,Waking at Dawn,spotify:album:2uh03RWTrpLJzfrrqeEIZs,Roy Woods,spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM,169604,23,Down Girl,spotify:track:4PZ4xyWBCCJqAeWI8uSLca
1452,GEMINI,spotify:album:72qA6s4fjF8Y2VX1UDMfp2,Macklemore,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY,220454,24,Glorious (feat. Skylar Grey),spotify:track:0CokSRCu5hZgPxcZBaEzVE
1453,Lil Pump,spotify:album:2VVvm4zJlUQm9XmBCvGN6z,Lil Pump,spotify:artist:3wyVrVrFCkukjdVIdirGVY,124055,25,Gucci Gang,spotify:track:43ZyHQITOjhciSUUNPVRHc
1454,Rolex,spotify:album:1bHj528aZfYOKq0ve5AHMr,Ayo & Teo,spotify:artist:27mFvqQj8KpjmdKIqcw1mG,238586,26,Rolex,spotify:track:0pSBuHjILhNEo55xK1zrRt
1455,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,217186,27,Did You See NAV?,spotify:track:4KvXkK07Xyxix6k4Hi60Ia
1456,NAV,spotify:album:4JR29CNW14Zc4Z5vflxkoJ,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,179773,28,Some Way,spotify:track:7zxRMhXxJMQCeDDg0rKAVo
1457,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,257493,29,A$AP Ferg,spotify:track:4EbULzyWMuFx94aoIY1MlJ
1458,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,265373,30,Minute,spotify:track:3JWh19WsndEFg0UFRFeTiU
1459,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,252626,31,I Am,spotify:track:5DdZBFXxrE6XeMFV3wmuAl
1460,Look At Me!,spotify:album:3cyyJALrHc8LawnQNFYRWL,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,126345,32,Look At Me!,spotify:track:7floNISpH8VF4z4459Qo18
1461,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,209346,33,You Know,spotify:track:727Ya71RqL4oMkSLly18sA
1462,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,227386,34,Rich,spotify:track:2pVfXuFewT3uSQEUTeIXgz
1463,No Complaints,spotify:album:4VXEIoFGEjhFMW7wYAvWSf,Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,261733,35,No Complaints,spotify:track:6kig1UFggPUyZBCvXD3Wod
1464,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,188960,36,Bring It Back,spotify:track:0ttf5LBdTiu8GSQH7J1jJW
1465,Bodak Yellow,spotify:album:1wpgafbHuQfSUmCWvahFlq,Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB,223962,37,Bodak Yellow,spotify:track:2771LMNxwf62FTAdpJMQfM
1466,No Fear,spotify:album:35uDNZkjmhAEnV3sz9A7jI,DeJ Loaf,spotify:artist:7kFfY4UjNdNyaeUgLIEbIF,169853,38,No Fear,spotify:track:2H881m3JRA8lpuuwaQL6zy
1467,NAV,spotify:album:4JR29CNW14Zc4Z5vflxkoJ,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,226040,39,Myself,spotify:track:05nbZ1xxVNwUTcGwLbp7CN
1468,Still Striving,spotify:album:0tQ7Iu6EicQTPyhYRNWjaT,A$AP Ferg,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,176866,40,What Do You Do,spotify:track:4gpmL5xSZeHssgyIP3UuPS
1469,Inzombia,spotify:album:4o2VY9DG4nLO3RXQkfi3UP,Belly,spotify:artist:0FOWNUFHPnMy0vOw1siGqi,259226,41,Re Up,spotify:track:0p0fmKwHHE5SVj5CZoSk8A
1470,NAV,spotify:album:4JR29CNW14Zc4Z5vflxkoJ,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,182880,42,NAV,spotify:track:0OPfZM09RUjE46nIeJGCfX
1471,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,215066,43,Call Me,spotify:track:1xpXnpIpuvzpx9jz15baJF
1472,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,169786,44,Hit,spotify:track:0gHcxtyWQT0HrlGxaxP1KT
1473,Perfect Timing,spotify:album:6VFETcEfjilkAng073KLt9,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,228106,45,Held Me Down,spotify:track:0jiW3PNiHJxOhWh9oPBJ7m
1474,Perplexing Pegasus,spotify:album:3KrrIlAUxVlMa0PVE5jV1j,Rae Sremmurd,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,204787,46,Perplexing Pegasus,spotify:track:2nYwV62UABTH0NanrwVIdQ
1475,Luv Is Rage 2,spotify:album:733e1ZfktLSwj96X5rsMeE,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,258789,47,Neon Guts (feat. Pharrell Williams),spotify:track:1MJErNPIQUoEMu4YUUmecm
1476,Birds In The Trap Sing McKnight,spotify:album:42WVQWuf1teDysXiOupIZt,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,213863,48,beibs in the trap,spotify:track:0ESJlaM8CE1jRWaNtwSNj8
1477,Stoney,spotify:album:5s0rmjP8XOPhP6HhqOhuyC,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,179613,49,Go Flex,spotify:track:5yuShbu70mtHXY0yLzCQLQ
1478,Look What You Made Me Do,spotify:album:7qqYU64i563QXANa6vpkSr,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,211859,50,Look What You Made Me Do,spotify:track:6uFsE1JgZ20EXyU0JQZbUR
1479,Tell Me You Love Me,spotify:album:3pgcHENAMBqdvBj65yvZLb,Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp,203760,51,Sorry Not Sorry,spotify:track:3m660poUr1chesgkkjQM7P
1480,Friends (with BloodPop?),spotify:album:6VABPTmDOYrO5cfyKZk7F7,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,189466,52,Friends (with BloodPop?),spotify:track:7nZmah2llfvLDiUjm0kiyz
1481,American Teen,spotify:album:6kf46HbnYCZzP6rjvQHYzg,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,202546,53,Young Dumb & Broke,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY
1482,rockstar,spotify:album:4AabsQ6plH3OmdE6BWI04j,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,218320,54,rockstar,spotify:track:7wGoVu4Dady5GV0Sv4UIsx
1483,"Ready, Fire, Aim!",spotify:album:200K0IvqlZ7INkcXM4fRxP,Travis Mills,spotify:artist:5fzbfP3jLDaJZe7TdFDXRY,207920,55,She Got A...,spotify:track:6NQeFh1n2KCoQvCyq98IXI
1484,17,spotify:album:5VdyJkLe3yvOs0l4xXbWp0,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,146520,56,Fuck Love (feat. Trippie Redd),spotify:track:7AQim7LbvFVZJE3O8TYgf2
1485,714Ever,spotify:album:1Kbmhg3Vhwsxu95r80PN5o,Yung Pinch,spotify:artist:61qMnYXa1GxSBoV3IiYKjZ,223384,57,When I Was Yung,spotify:track:1EEmqBSjGrWyQV9wD8HJy4
1486,Gangland,spotify:album:4QNAtWA1bKaal0AVZMT22x,22 Savage,spotify:artist:7x8MuRMbm9XIldHSJOtoNo,112143,58,Murder She Wrote,spotify:track:6clN5vUp9PAFWmGUKNvKqi
1487,Mi Gente (feat. Beyonc??),spotify:album:0ARVq1kA5eRP4F5VsZsr3m,J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,209733,59,Mi Gente (feat. Beyonc??),spotify:track:7fwXWKdDNI5IutOMc5OKYw
1488,A Thousand Years,spotify:album:15yvc643iYfQtb6zh9NEJo,Christina Perri,spotify:artist:7H55rcKCfwqkyDFH9wpKM6,285120,60,A Thousand Years,spotify:track:6lanRgr6wXibZr8KgzXxBl
1489,HNDRXX,spotify:album:7K6OykPbezfgKgBufihn6X,Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,211240,61,PIE,spotify:track:5FsJ8AUxW1KBypdhFvbdkd
1490,OMG,spotify:album:3Eh8juJMtjYOS4ryAtMDFJ,Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,228893,62,OMG,spotify:track:4xBjsLUSjcx2h7PcRikpQp
1491,For the Last Time,spotify:album:4CcyRnFW6Vgf372ca3xFGR,$uicideBoy$,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,156081,63,For the Last Time,spotify:track:240audWazVjwvwh7XwfSZE
1492,She's Yours!!!!,spotify:album:6uhsJNjm1sq1eWzzOwaWEU,Banko Dupree,spotify:artist:0hOyj1LW4RP82CdP78icV2,138031,64,She's Yours!!!!,spotify:track:1xYmbvIVtCDkWVWVUyjWUY
1493,17,spotify:album:5VdyJkLe3yvOs0l4xXbWp0,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,119133,65,Jocelyn Flores,spotify:track:7m9OqQk4RVRkw9JJdeAw96
1494,Lil Pump,spotify:album:2VVvm4zJlUQm9XmBCvGN6z,Lil Pump,spotify:artist:3wyVrVrFCkukjdVIdirGVY,192000,66,Iced Out (feat. 2 Chainz),spotify:track:1c5Lbn9mYwNYbnNiizw6D0
1495,3 Pac,spotify:album:5SbbvvERD9Mrp7PtsZ8BTy,Banko Dupree,spotify:artist:0hOyj1LW4RP82CdP78icV2,206628,67,Excuse Myself,spotify:track:2XUcif8qoWP6IY9I2yeyh6
1496,Silent Treatment,spotify:album:26rRDiLvW1LKzHdq3mZC5n,Highasakite,spotify:artist:5awQWdBpLqN2KFVRN8w56T,236879,0,Since Last Wednesday,spotify:track:7Miom5GZWwDFjv4CwrrAVF
1497,Modern Vampires of the City,spotify:album:6rhe02ppDhYAvPmavWeBkZ,Vampire Weekend,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,251626,1,Step,spotify:track:1ESlvmyeER7ebaKTsXE78c
1498,Waiting For The Dawn,spotify:album:4pmOIOmY4QXH1rMSqHMOGH,The Mowgli's,spotify:artist:6AGUQK1EWK6nvN4pLIDQDQ,173093,2,San Francisco,spotify:track:2eQOMQkStoRUQyq6HGh1iG
1499,The English Riviera,spotify:album:6KXo7uvGpnwMr5SZbhHTAd,Metronomy,spotify:artist:54QMjE4toDfiCryzYWCpXX,277653,3,The Look,spotify:track:3kEQyPfmFknzr0pRBWxWxu
1500,Sweet Disarray,spotify:album:2qg3JERQKBjZXvMBtvKR0y,Dan Croll,spotify:artist:5Rr15NSbi1Xjno1AEP9u21,196848,4,From Nowhere,spotify:track:5c9YHjSjEZxaCxsF1Gy5Jt
1501,Working Out,spotify:album:3Mu5iVCSdpL5IoWes8ywz3,Arthur Beatrice,spotify:artist:5Rgh778FK9SlQtBEcNtkqZ,254290,5,Grand Union,spotify:track:4gQ5V0fsVXAq3MMOZrCGlM
1502,The English Riviera,spotify:album:5yJS8oNKYDsDAy06z4QCIi,Metronomy,spotify:artist:54QMjE4toDfiCryzYWCpXX,290173,6,The Bay,spotify:track:3qbFCpEd9QUqPJq4LqKUE4
1503,Evergreen,spotify:album:0HrAEwPOV0brDG0wvTWXUB,Broods,spotify:artist:5r5Va4lVQ1zjEfbJSrmCsS,187710,7,Mother & Father,spotify:track:3Nttjgkm2lDCRVFpMh22hv
1504,In the Silence,spotify:album:01jSo1xSf9wyqfZepgY0EV,?sgeir,spotify:artist:7xUZ4069zcyBM4Bn10NQ1c,213506,8,King and Cross,spotify:track:4MQA3csVgMgeuI1Hm1JnJL
1505,This Is an Adventure,spotify:album:0He2jPXqzIMThntrM45sv2,The Lighthouse And The Whaler,spotify:artist:6ls5A8Wys9Swixpz4v6kj3,199906,9,Venice,spotify:track:15KUDgDxvkghmtB6FxI7Dt
1506,Stateless,spotify:album:749ilKbYY5wUcPE4hoprTp,Lovelife,spotify:artist:0XdmdxjK0TXuC90HNcBKRz,256279,10,Stateless,spotify:track:7m6ZgTtlXiPYy6SY04yTrK
1507,Treasures - EP,spotify:album:6B94EBmU1Vwb5vz8hXXl6f,Antonio Paul,spotify:artist:4SgajeixVSAcKwkjSw51XH,214826,11,West Coast Kids,spotify:track:05Pe4ZpLBf9PH9sQZfY0Zd
1508,Connection (Bonus Tracks Version),spotify:album:66slJSOFOkkkIsjfxtUAKP,Cas Haley,spotify:artist:2MrqCKzxfyDA2mqfNWEXKy,200666,12,Better,spotify:track:2Vyu6jnDwbzNAaPRzcSQKl
1509,Dixie Chicken,spotify:album:4xtCtXkGuTbHQwTaVd5FCF,Little Feat,spotify:artist:0ZIwOAzDuGPspzK7yiTc4S,271693,13,Fat Man In The Bathtub,spotify:track:6niNEBHFV7ga3HKAPcmADu
1510,Reservoir,spotify:album:1G2GzZrAlvt4ldHhbhTeDD,Fanfarlo,spotify:artist:2Ag3w3cSdRHgzPNi60WABE,241653,14,"Harold T. Wilkins, Or How To Wait For A Very Long Time",spotify:track:3fBbB1mW3ULuhmQXijyuaR
